node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square
4934,70149.0,40692.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
4935,30612.0,48977.0,E1745N3175,8282,890.0,9.368421052631579,E1745N3175
4936,30772.0,48943.0,E1745N3175,8282,890.0,9.368421052631579,E1745N3175
4937,30909.0,49561.0,,8282,,0.3,E1745N3175
4938,32319.0,49471.0,E1745N3175,8282,890.0,9.368421052631579,E1745N3175
4939,33368.0,48632.0,E1745N3175,8282,890.0,9.368421052631579,E1745N3175
4940,33414.0,48655.0,E1745N3175,8282,890.0,9.368421052631579,E1745N3175
4941,74751.0,49573.0,,7229,,0.3,E1775N3180
4942,26206.0,36877.0,E1740N3165,1379,845.0,24.142857142857142,E1740N3165
4943,23354.0,33093.0,E1740N3160,4356,705.0,24.310344827586206,E1740N3160
4944,20200.0,32507.0,E1735N3160,4356,650.0,13.541666666666666,E1735N3160
4945,47311.0,50176.0,E1755N3180,5499,1290.0,32.25,E1755N3180
4946,93555.0,41697.0,,2155,,0.3,E1785N3170
4947,78749.0,61765.0,E1775N3190,7859,1225.0,29.878048780487806,E1775N3190
4948,78887.0,61775.0,E1775N3190,7859,1225.0,29.878048780487806,E1775N3190
4949,70324.0,30926.0,E1770N3155,753,705.0,16.022727272727273,E1770N3155
4950,90357.0,50361.0,E1785N3180,2155,670.0,23.103448275862068,E1785N3180
4951,70580.0,39312.0,E1770N3165,4987,235.0,3.5606060606060606,E1770N3165
4952,70451.0,39291.0,E1770N3165,4987,235.0,3.5606060606060606,E1770N3165
4953,72082.0,39646.0,,4987,,0.3,E1775N3165
4954,126452.0,72532.0,E1810N3200,5820,2.0,0.6666666666666666,E1810N3200
4955,130049.0,71908.0,E1815N3200,5820,2.0,1.0,E1815N3200
4956,93219.0,42145.0,E1785N3170,2155,2030.0,27.066666666666666,E1785N3170
4957,98212.0,40780.0,E1790N3170,2096,1040.0,18.90909090909091,E1790N3170
4958,79022.0,30945.0,E1775N3155,753,805.0,10.454545454545455,E1775N3155
4959,79123.0,31169.0,E1775N3160,753,845.0,8.20388349514563,E1775N3160
4960,80714.0,31249.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4961,79273.0,32229.0,,753,,0.3,E1780N3160
4962,79302.0,30994.0,,753,,0.3,E1780N3155
4963,79306.0,31136.0,,753,,0.3,E1780N3160
4964,79317.0,31551.0,,753,,0.3,E1780N3160
4965,79313.0,31415.0,,753,,0.3,E1780N3160
4966,80137.0,30982.0,E1780N3155,753,290.0,4.915254237288136,E1780N3155
4967,80141.0,31127.0,,753,,0.3,E1780N3160
4968,80146.0,31303.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
