node_id,nearest_service_point,distance_to_service_point
535,417,406.70998558599996
536,657,920.9776129099998
537,657,765.05773522
538,753,1141.91717887
539,718,721.076522213
540,718,704.929099903
541,753,675.1245736699998
542,718,556.412519373
543,718,524.512362633
544,753,594.9164611000001
545,718,740.302677613
546,718,616.8760806199999
547,417,570.910362401
548,753,652.0354596899999
549,657,784.15872096
550,753,835.4846610300001
551,718,504.4484647029999
552,417,569.096583926
553,657,585.66730891
554,753,1123.06375217
555,657,699.0860149799998
556,417,396.050347326
557,753,604.48721684
558,417,492.41165082599997
559,718,524.525153664
560,718,469.497069924
561,657,699.86560141
562,417,563.8193534960001
563,718,548.109346314
564,1026,1216.1257771360001
565,1026,1601.0039544960002
566,1026,1208.52511927
567,718,472.25125985299997
568,718,572.2885263
569,718,562.2885263
570,657,1821.301201825
571,657,735.7661595499999
572,753,788.35717436
573,718,844.3345155000001
574,718,717.6117866999999
575,753,805.7257918299999
576,753,1132.53751724
577,753,1147.62793441
578,753,854.13539831
579,753,1100.32116957
580,718,431.49062310399995
581,753,1071.32828591
582,753,1049.83363541
583,657,638.67906174
584,417,561.9366274160001
585,657,509.23472424
586,417,468.64986522600003
587,718,519.27689996
588,718,523.413646023
589,718,407.613809413
590,657,489.23472424
591,657,1716.101154325
592,718,487.32512216199996
593,718,386.28885322400004
594,718,400.369501302
595,657,639.34391108
596,718,503.277856993
597,657,554.66271454
598,753,1176.6452320699998
599,657,441.616353861
600,657,448.02732199
601,657,589.9733733099999
602,657,361.16852854
603,718,357.157928782
604,718,335.35163696399997
605,657,656.17435518
606,657,663.9061078919999
607,718,450.265996414
608,718,476.60189426400007
609,718,319.74330585399997
610,657,688.6801914719999
611,718,331.98285884999996
612,753,1264.9940616299998
613,718,432.47684236
614,718,459.67706044399995
615,417,673.3938838160001
616,657,1440.9985452249998
617,657,412.69492001000003
618,417,590.6702972080001
619,1026,846.8402959099999
620,657,321.70968923
621,657,297.52291599
622,657,629.7228340019999
623,753,409.2716261
624,657,410.46992887
625,657,371.41868049
626,718,282.690640634
627,657,172.52511599
628,657,1012.1308373249999
629,4387,2034.454083115
630,753,336.46668506
631,753,630.0077009899999
632,718,281.15009383
633,718,343.67057048
634,753,895.6619749429999
635,657,609.87631262
636,657,548.88675456
637,718,271.6479888
638,718,317.89569145
639,753,1033.30725645
640,718,440.45959872000003
641,753,345.53780181
642,718,555.34475638
643,657,374.01660852000003
644,718,632.44858248
645,718,646.49173028
646,718,335.44106121
647,718,495.67105732999994
648,657,329.25669342000003
649,657,274.346494
650,1026,767.40186126
651,753,576.1804773899999
652,657,115.1615387
653,718,421.86584071
654,718,219.19056189399998
655,718,529.40135645
656,753,243.05721017
657,657,0
658,4387,2052.4607068150003
659,753,1302.4721378299998
660,657,331.2305843
661,4387,1466.5478184889998
662,753,830.7246975129999
663,657,471.07210297999995
664,753,281.33499813000003
665,718,196.45748808
666,753,308.82263409999996
667,718,428.96699975
668,1026,1024.1410504199998
669,718,337.61602822
670,718,170.43124275
671,718,190.43124275
672,1026,1050.3961451599998
673,718,271.21331743
674,718,212.53790576
675,718,84.40799007999999
676,4387,1915.9121074149998
677,753,802.3976786129999
678,753,286.26160575
679,931,543.132902044
680,657,965.090679204
681,1258,1609.5678847200002
682,753,784.6776334629999
683,753,506.15582538
684,753,175.14944278000002
685,718,161.1790701
686,753,733.1970528100001
687,718,584.04779604
688,931,636.9760851939999
689,657,62.70031898
690,718,557.39439146
691,753,233.77818999
692,753,360.73918258000003
693,718,474.24392544
694,657,405.37388088
695,753,526.40428211
696,718,294.20313440999996
697,657,396.97440529999994
698,718,49.2074219
699,718,138.72234027
700,657,414.67694749
701,753,360.78769088
702,718,239.7703318
703,753,1199.10386413
704,753,152.76037646999998
705,657,594.35105477
706,753,125.59422106
707,753,1371.5529010199998
708,718,1586.71536944
709,718,510.89866592
710,753,257.68841838000003
711,753,1075.03563342
712,657,111.36981661
713,718,605.11596794
714,753,186.04866672
715,753,1044.47274743
716,718,129.0240288
717,931,830.511163155
718,718,0
719,753,875.485562633
720,931,702.8816236539999
721,753,938.67104613
722,753,192.19840549
723,4356,1554.223817242
724,753,399.78769088
725,753,854.8359103
726,753,549.79519068
727,753,222.96868336
728,657,472.86603507000007
729,931,721.006462233
730,657,420.83710081000004
731,657,399.0068908100001
732,657,298.00194041
733,753,68.79334079
734,718,48.64205214
735,718,116.46336147999999
736,4356,1518.419208602
737,753,739.15763765
738,753,49.81967483
739,657,454.5856637400001
740,753,729.88954661
741,718,183.11210512
742,718,64.48029699
743,931,892.697496055
744,657,187.97921551
745,718,676.29718897
746,657,453.59377952000006
747,931,763.882361354
748,718,598.20065163
749,931,665.512588693
750,657,628.85154919
751,753,696.11115115
752,753,22.0
753,753,0
754,657,552.1612754500001
755,657,456.69571122
