NODE ID;X;Y;SQUARE
377;82193;18927;E1780N3145
378;91379;18955;E1785N3145
379;65056;18955;E1770N3145
380;66369;18955;E1770N3145
381;92379;19135;E1785N3145
382;91949;19195;E1785N3145
383;91459;19275;E1785N3145
384;93069;19355;E1785N3145
385;88089;19375;E1785N3145
386;90529;19415;E1785N3145
387;93819;19415;E1790N3145
388;88039;19465;E1785N3145
389;88679;19465;E1785N3145
390;90169;19485;E1785N3145
391;87749;19545;E1785N3145
392;94009;19615;E1790N3145
393;67281;19600;E1770N3145
394;76311;19673;E1775N3145
395;87759;19675;E1785N3145
396;91859;19675;E1785N3145
397;67246;19621;E1770N3145
398;93877;19723;E1790N3145
399;76769;19724;E1775N3145
400;86919;19735;E1785N3145
401;88939;19815;E1785N3145
402;79942;19852;E1780N3145
403;76549;19842;E1775N3145
404;90309;19915;E1785N3145
405;93079;19945;E1785N3145
406;93249;19955;E1785N3145
407;93642;19940;E1790N3145
408;72719;20005;E1775N3145
409;66166;19987;E1770N3145
410;92143;20012;E1785N3145
411;74322;20085;E1775N3145
412;39187;20110;E1750N3145
413;78403;20127;E1775N3145
414;89226;20175;E1785N3145
415;90119;20185;E1785N3145
416;75335;20257;E1775N3145
417;92729;20245;E1785N3145
418;30920;20270;E1745N3145
419;88199;20345;E1785N3145
420;33143;20378;E1745N3145
421;75380;20446;E1775N3145
422;128419;20443;E1810N3145
423;75152;20445;E1775N3145
424;73904;20472;E1775N3145
425;95010;20500;E1790N3145
426;71850;20516;E1770N3145
427;72189;20515;E1775N3145
428;66699;20525;E1770N3145
429;88999;20525;E1785N3145
430;72717;20559;E1775N3145
431;70192;20566;E1770N3145
432;70469;20576;E1770N3145
433;72974;20585;E1775N3145
434;92729;20575;E1785N3145
435;89226;20632;E1785N3145
436;87283;20627;E1785N3145
437;73879;20685;E1775N3145
438;76367;20704;E1775N3145
439;88127;20780;E1785N3145
440;74479;20795;E1775N3145
441;72101;20911;E1775N3145
442;75884;20908;E1775N3145
443;90977;20914;E1785N3145
444;93811;20932;E1790N3145
445;94171;20856;E1790N3145
446;77544;20953;E1775N3145
447;87227;20949;E1785N3145
448;73386;20984;E1775N3145
449;76683;21005;E1775N3145
450;87645;21007;E1785N3145
451;88855;20981;E1785N3145
452;76040;21047;E1775N3145
453;77265;21037;E1775N3145
454;88759;21065;E1785N3145
455;92779;21065;E1785N3145
456;91939;21115;E1785N3145
457;91659;21135;E1785N3145
458;31363;21123;E1745N3145
459;93839;21145;E1790N3145
460;77423;21177;E1775N3145
461;76205;21201;E1775N3145
462;33033;21222;E1745N3145
