node_id,assigned_service_point,distance
379,753,2042.205664304
380,753,1910.89145144
381,417,177.52856849
382,417,155.96969810000002
383,417,205.61846445000003
384,417,105.10619626
385,417,504.82892022
386,417,299.66632461000006
387,417,165.78363037
388,417,515.12455036
389,417,445.14642697
390,417,309.20197183
391,417,545.20776827
392,417,151.49748835999998
393,753,1766.29602673
394,753,1155.14532753
395,417,550.12455036
396,417,107.13323631
397,753,1770.377693056
398,417,134.44228388
399,753,1145.122296318
400,417,688.8401649699999
401,417,401.54596826
402,753,1306.52765535
403,753,1123.91578984
404,417,263.98029561
405,417,46.09772229
406,417,63.127108660000005
407,417,102.4557242
408,753,1255.762332528
409,753,1884.410846156
410,417,63.06227081
411,753,1241.7052147400002
412,6765,2436.5077486920004
413,753,1150.19000795
414,417,355.50587704
415,417,266.20027811
416,753,1071.7753946
417,417,0.0
418,1258,2096.452610224
419,417,479.22266023
420,1258,1917.993857169
421,753,1052.34706477
422,657,1381.38736779
423,753,1075.14728407
424,753,1184.74092768
425,417,261.2232679
426,753,1287.245135158
427,753,1253.344987668
428,753,1876.062362331
429,417,397.22266023
430,753,1200.361971518
431,753,1347.80486637
432,753,1320.08682171
433,753,1174.530788808
434,417,33.0
435,417,422.31807814
436,417,609.09007549
437,753,1163.29471589
438,753,1035.81539257
439,417,523.31449621
440,753,1102.29471589
441,753,1245.85075843
442,753,983.97601827
443,417,211.4495727
444,417,186.30793732
445,417,223.101415
446,753,998.08962064
447,417,618.7928267000001
448,753,1117.14357133
449,753,992.17401312
450,417,576.59235277
451,417,451.41241499
452,753,963.08176069
453,753,993.74062473
454,417,458.46059195
455,417,82.25444142
456,417,166.40311937
457,417,194.47445707000003
458,1258,2000.3350780040005
459,417,207.79118661
460,753,972.63043762
461,753,940.51164771
462,1258,1832.880050999
463,417,421.12428254
464,417,402.12428254
465,4387,2542.523418149
466,417,264.61836054
467,417,226.09723367000004
468,753,1249.12338042
469,417,619.79536192
470,417,256.51104632000005
471,657,1264.45941207
472,753,1008.04175838
473,417,312.9458098
474,417,209.50764349
475,417,276.61079756000004
476,417,310.71436725000007
477,417,283.61079756000004
478,417,470.8535495800001
479,417,552.85964691
480,753,1011.55796623
481,753,983.74537915
482,753,959.65891018
483,417,153.70372413
484,417,264.50774033000005
485,753,871.33564031
486,753,992.17738992
487,753,963.29348437
488,753,890.87806762
489,753,890.11269689
490,753,959.54150935
491,753,1384.31813604
492,417,369.75409963
493,417,255.88493573
494,417,719.28827874
495,417,699.48726866
496,417,342.91159766
497,417,330.91159766
498,417,700.00422918
499,417,623.50364095
500,417,608.30331201
501,753,948.9750837200002
502,417,534.35945482
503,417,590.84481071
504,753,882.62329161
505,417,478.2438199
506,753,828.4289100200001
507,753,782.24579802
508,417,347.88521769600004
509,417,262.14578685600003
510,417,327.765905726
511,417,344.677735906
512,753,1114.92268551
513,753,1548.4304770500005
514,753,1010.87942531
515,417,473.787166381
516,417,1751.88994025
517,753,746.63681039
518,753,1083.91212485
519,1026,1448.45955233
520,753,792.0142412900001
521,1026,1423.43956032
522,753,921.98518126
523,753,869.27468235
524,718,604.969317733
525,718,686.07506905
526,753,772.5643416400001
527,753,1292.61263165
528,753,1256.51041565
529,753,710.2373496900001
530,718,615.696258413
531,417,421.958829736
532,718,551.801188183
533,657,791.57659643
534,417,337.356224966
535,417,406.709985586
536,657,920.97761291
537,657,765.05773522
538,753,1279.9260087500002
539,718,721.076522213
540,718,704.929099903
541,753,675.12457367
542,718,556.4125193730001
543,718,524.5123626330001
544,753,594.9164611
545,718,740.3026776129999
546,718,616.87608062
547,417,570.910362401
548,753,652.03545969
549,657,784.15872096
550,753,835.4846610300001
551,718,504.448464703
552,417,569.096583926
553,657,585.66730891
554,753,1123.0637521700005
555,657,699.08601498
556,417,396.050347326
557,753,604.48721684
558,417,492.411650826
