Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y
E1770N3190,305,160.0,150.0,40.0,65.0,85.0,70.0,50.0,175.0,100.0,40.0,5.0,30.0,130.0,70.0,30.0,5.0,,202.0,3.0,40-60 midden,33.0,18.0,"0,8","68430,49994","61117,27"
E1770N3195,545,295.0,250.0,45.0,140.0,110.0,140.0,110.0,335.0,210.0,70.0,15.0,40.0,270.0,30.0,70.0,130.0,10.0,155.0,4.0,20-40 below middle,62.0,4.0,1,"68430,49994","65736,435"
E1770N3200,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"68430,49994","70355,6"
E1770N3205,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"68430,49994","74974,765"
E1775N3125,2,,,,,,,,,,,,,,,,,,,,,,,,"75625,41661","1068,125"
E1775N3130,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"75625,41661","5687,29"
E1775N3135,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"75625,41661","10306,455"
E1775N3140,95,40.0,55.0,5.0,10.0,25.0,40.0,15.0,25.0,5.0,10.0,,10.0,5.0,,,,,,5.0,00-40 laag tot onder midden,,,"1,5","75625,41661","14925,62"
E1775N3145,1000,490.0,510.0,85.0,145.0,205.0,405.0,155.0,350.0,130.0,95.0,20.0,105.0,355.0,60.0,40.0,125.0,5.0,282.0,4.0,40-60 midden,33.0,32.0,"1,2","75625,41661","19544,785"
E1775N3150,1210,550.0,660.0,145.0,180.0,285.0,325.0,275.0,585.0,270.0,150.0,55.0,110.0,580.0,40.0,60.0,245.0,10.0,196.0,2.0,20-60 below middle to middle,46.0,11.0,"0,8","75625,41661","24163,95"
E1775N3155,805,395.0,410.0,85.0,130.0,175.0,250.0,165.0,435.0,195.0,125.0,35.0,75.0,435.0,50.0,50.0,200.0,10.0,218.0,2.0,40-60 midden,40.0,17.0,"0,5","75625,41661","28783,115"
E1775N3160,845,420.0,425.0,80.0,160.0,260.0,250.0,95.0,530.0,325.0,110.0,35.0,55.0,510.0,40.0,60.0,145.0,45.0,185.0,2.0,20-60 below middle to middle,55.0,14.0,"0,8","75625,41661","33402,28"
E1775N3165,850,420.0,430.0,125.0,110.0,200.0,235.0,175.0,405.0,175.0,95.0,35.0,95.0,375.0,40.0,60.0,195.0,5.0,205.0,1.0,20-40 below middle,58.0,12.0,"0,2","75625,41661","38021,445"
E1775N3170,2275,1050.0,1225.0,170.0,480.0,620.0,465.0,545.0,1420.0,910.0,315.0,55.0,130.0,1355.0,30.0,70.0,355.0,165.0,194.0,1.0,20-40 below middle,55.0,10.0,"0,5","75625,41661","42640,61"
E1775N3175,1355,625.0,730.0,70.0,425.0,420.0,225.0,220.0,945.0,655.0,200.0,20.0,60.0,785.0,20.0,70.0,95.0,90.0,181.0,1.0,20-40 below middle,55.0,13.0,"0,4","75625,41661","47259,775"
E1775N3180,1325,650.0,675.0,140.0,180.0,365.0,365.0,280.0,800.0,480.0,155.0,75.0,90.0,795.0,10.0,90.0,585.0,75.0,145.0,1.0,20-40 below middle,73.0,3.0,"0,4","75625,41661","51878,94"
E1775N3185,1210,630.0,580.0,180.0,255.0,290.0,310.0,175.0,640.0,350.0,125.0,70.0,90.0,605.0,10.0,90.0,455.0,50.0,138.0,2.0,00-20 low,76.0,2.0,"0,8","75625,41661","56498,105"
