EDGE ID;V1;V2;DIST;DIRECTED (v1 -> v2);TYPE;NAME;MAX_SPEED;X1;Y1;X2;Y2;Square 1;Square 2;Square mid
e10571;2946;2980;142,0774437;FALSE;tertiary;Gentelaan;50;31040;53922;29814;54640;E1745N3180;E1745N3185;E1745N3185
e10570;2928;2946;53,47990277;FALSE;tertiary;Gentelaan;50;31509;53665;31040;53922;E1745N3180;E1745N3180;E1745N3180
e10546;6404;6470;36,72669329;TRUE;motorway;Rijksweg A2;100;83557;37854;83411;38191;E1780N3165;E1780N3165;E1780N3165
e10544;7882;7883;47,78807383;FALSE;tertiary;Mariënwaard;70;93755;72179;94214;72312;E1790N3200;E1790N3200;E1790N3200
e10545;6470;6405;28,89429009;TRUE;motorway;Rijksweg A2;100;83411;38191;83303;38459;E1780N3165;E1780N3165;E1780N3165
e10543;7883;3814;190,2172442;FALSE;tertiary;Mariënwaard;70;94214;72312;96042;72838;E1790N3200;E1790N3205;E1790N3200
e10606;5288;1724;28,82776439;TRUE;residential;Aldenhofpark;30;49545;40802;49293;40942;E1755N3170;E1755N3170;E1755N3170
e11303;4905;4656;16,23083485;FALSE;residential;Schorsmolen;30;75044;13626;75206;13636;E1775N3140;E1775N3140;E1775N3140
e10512;7863;5508;16,31103921;TRUE;service;undefined;5;49978;53378;50119;53296;E1755N3180;E1755N3180;E1755N3180
e11174;8328;2349;54,46999174;FALSE;tertiary;Doornlaan;50;98629;45849;98086;45892;E1790N3175;E1790N3175;E1790N3175
e11133;7161;4450;10,9658561;FALSE;pedestrian;Markt;5;58028;48942;58137;48954;E1765N3175;E1765N3175;E1765N3175
e11149;3884;6640;30,55879579;FALSE;secondary;Maastrichterweg;50;101621;75211;101831;75433;E1795N3205;E1795N3205;E1795N3205
e10869;6796;8106;101,6986234;TRUE;service;undefined;5;47734;58915;46740;58700;E1755N3190;E1755N3185;E1755N3185
e10636;6449;5309;24,71315439;TRUE;trunk;Noorderbrug;70;53587;57211;53344;57166;E1760N3185;E1760N3185;E1760N3185
e10994;8210;8191;9,396275858;TRUE;secondary;Maasboulevard;50;61225;45128;61252;45038;E1765N3175;E1765N3175;E1765N3175
e10996;8213;8211;18,55208883;FALSE;service;undefined;5;70277;59865;70450;59798;E1770N3190;E1770N3190;E1770N3190
e11009;8219;8224;65,9285219;FALSE;service;undefined;5;89916;76421;90437;76825;E1785N3205;E1785N3205;E1785N3205
e10921;8152;8153;24,50979396;FALSE;service;undefined;5;95225;25917;94982;25949;E1790N3150;E1790N3150;E1790N3150
e10961;8200;8198;18,5;TRUE;residential;Cannerweg;30;38717;34106;38821;33953;E1750N3160;E1750N3160;E1750N3160
e10519;5062;8460;40,30111661;TRUE;busway;Koningin Emmaplein;5;43911;47010;44138;47343;E1755N3175;E1755N3175;E1755N3175
e11019;8224;8225;15,29575104;FALSE;service;undefined;5;90437;76825;90301;76895;E1785N3205;E1785N3205;E1785N3205
e11346;1046;8485;36,43130522;TRUE;service;undefined;5;94481;33658;94331;33326;E1790N3160;E1790N3160;E1790N3160
e11037;8245;1802;32,25926224;FALSE;residential;Ringovenweg;30;41090;41540;40819;41715;E1750N3170;E1750N3170;E1750N3170
e11040;5470;927;11,50043477;FALSE;unclassified;Sorbonnelaan;50;78919;31338;79034;31337;E1775N3160;E1775N3160;E1775N3160
e11050;3905;3895;159,0150307;FALSE;unclassified;Geuldalweg;60;112826;75818;111269;75495;E1800N3205;E1800N3205;E1800N3205
e11062;270;6148;19,531001;FALSE;residential;Oosterbroekweg;50;87865;8218;87854;8413;E1785N3135;E1785N3135;E1785N3135
e10799;2183;2260;86,10023229;TRUE;residential;Brouwersweg;30;37709;44635;38378;45177;E1750N3170;E1750N3175;E1750N3170
e10763;8028;8029;16,55566368;FALSE;service;undefined;5;34330;44859;34225;44987;E1745N3170;E1745N3175;E1745N3170
e10764;8030;5792;7,71038261;FALSE;residential;Burgemeester Bauduinstraat;50;79792;54993;79868;55006;E1780N3185;E1780N3185;E1780N3185
e10761;8026;2967;31,4311947;TRUE;service;undefined;5;83246;54396;82972;54242;E1780N3185;E1780N3185;E1780N3185
e10762;8027;8028;91,6756238;FALSE;service;undefined;5;35239;44978;34330;44859;E1745N3175;E1745N3170;E1745N3170
e11087;5284;8275;46,71359545;TRUE;service;undefined;5;79305;31241;79759;31131;E1780N3160;E1780N3160;E1780N3160
e11077;8270;8269;51,92783454;FALSE;service;undefined;5;78041;34618;78024;34099;E1775N3160;E1775N3160;E1775N3160
e11043;2243;2246;14,22251736;TRUE;residential;Akerstraat;30;69523;45078;69665;45086;E1770N3175;E1770N3175;E1770N3175
e10932;8164;8162;199,306021;FALSE;tertiary;Maasboulevard;50;62282;19862;62347;21854;E1765N3145;E1765N3145;E1765N3145
e10648;5417;393;50,90088408;FALSE;service;undefined;5;67278;19091;67281;19600;E1770N3145;E1770N3145;E1770N3145
e10765;8031;5792;26,53846265;FALSE;residential;Doctor Schaepmanstraat;50;80113;54904;79868;55006;E1780N3185;E1780N3185;E1780N3185
e10995;8214;8213;36,94238758;FALSE;service;undefined;5;69984;60090;70277;59865;E1770N3190;E1770N3190;E1770N3190
e10941;6533;5696;100,9269538;TRUE;tertiary;Langendaal;50;90418;28035;90521;27031;E1785N3155;E1785N3155;E1785N3155
e11027;8234;8235;45,16381295;FALSE;service;undefined;5;10025;52533;9574;52509;E1730N3180;E1730N3180;E1730N3180
e11014;8220;8222;71,97673235;FALSE;service;undefined;5;90103;76334;90739;76671;E1785N3205;E1785N3205;E1785N3205
e11002;3819;3826;136,8649334;FALSE;service;undefined;5;89564;73342;90840;73837;E1785N3205;E1785N3205;E1785N3205
e10988;212;5363;8,323460819;FALSE;unclassified;undefined;80;116816;4752;116748;4704;E1805N3130;E1805N3130;E1805N3130
e10975;5594;6662;13,30037593;FALSE;residential;Iepenlaan;30;101077;88086;101210;88085;E1795N3220;E1795N3220;E1795N3220
e10965;6072;8205;13,86001443;FALSE;residential;Luikerweg;30;51577;34416;51660;34527;E1760N3160;E1760N3160;E1760N3160
e10953;8187;8188;11,35341358;FALSE;service;undefined;30;72780;19530;72667;19541;E1775N3145;E1775N3145;E1775N3145
e11001;8215;8216;42,5470328;FALSE;service;undefined;5;70097;60199;70497;60054;E1770N3190;E1770N3190;E1770N3190
e10987;252;4285;273,4600702;FALSE;unclassified;Keerestraat;60;131906;6553;131126;9174;E1815N3130;E1815N3135;E1815N3130
e10973;5691;5692;8,292767934;FALSE;unclassified;Weert;50;99759;85229;99713;85298;E1790N3215;E1790N3215;E1790N3215
e10963;8201;8202;32,67445485;FALSE;service;undefined;5;33892;14294;33831;14615;E1745N3140;E1745N3140;E1745N3140
e10951;8183;8184;13,38431918;FALSE;service;undefined;30;75567;18956;75632;19073;E1775N3145;E1775N3145;E1775N3145
e10967;5103;4083;5,371219601;FALSE;residential;Korte Raarberg;30;135273;83709;135299;83756;E1815N3215;E1815N3215;E1815N3215
e11038;927;8246;19,4833262;TRUE;unclassified;undefined;50;79034;31337;79092;31523;E1775N3160;E1775N3160;E1775N3160
e10802;1807;4419;146,2991798;TRUE;primary;Akersteenweg;50;85099;41727;86551;41906;E1780N3170;E1785N3170;E1780N3170
e10800;1951;1986;266,7597608;FALSE;residential;Beeldsnijdersdreef;30;35234;42922;32575;43136;E1745N3170;E1745N3170;E1745N3170
e10499;3397;7859;326,5015314;FALSE;tertiary;Willem Alexanderweg;50;69307;60835;70101;64002;E1770N3190;E1770N3195;E1770N3190
e10807;8061;8062;26,53186763;FALSE;service;undefined;5;57156;56788;57421;56775;E1760N3185;E1760N3185;E1760N3185
e10805;8058;8059;163,1275881;FALSE;service;Joseph Bechlaan;50;79195;34820;80826;34790;E1775N3160;E1780N3160;E1780N3160
e10806;1472;8060;55,52341848;FALSE;service;Planetenhof;30;20424;38864;20003;38502;E1735N3165;E1735N3165;E1735N3165
e10803;1701;1716;19,41777536;FALSE;tertiary;undefined;50;85221;40782;85050;40874;E1780N3170;E1780N3170;E1780N3170
e10804;8057;1801;42,36153916;FALSE;primary;Akersteenweg;50;90940;41585;90519;41632;E1785N3170;E1785N3170;E1785N3170
e10794;8054;8055;41,60252396;FALSE;service;undefined;5;32467;41601;32121;41832;E1745N3170;E1745N3170;E1745N3170
e10625;7928;5559;10,9658561;TRUE;service;undefined;5;71643;35746;71723;35671;E1770N3165;E1770N3160;E1770N3160
e10682;7967;2205;27,30311338;TRUE;residential;Abtstraat;30;49909;45115;50048;44880;E1755N3175;E1755N3170;E1755N3175
e11081;8269;8270;51,92783454;FALSE;service;undefined;5;78024;34099;78041;34618;E1775N3160;E1775N3160;E1775N3160
e11075;8273;8274;46,32116147;FALSE;service;undefined;5;78237;34152;78251;34615;E1775N3160;E1775N3160;E1775N3160
e10974;5595;5693;70,31564549;FALSE;unclassified;Weert;50;101793;86525;102470;86335;E1795N3220;E1795N3215;E1795N3215
e10964;8203;8204;43,87994986;FALSE;service;undefined;5;40204;11476;39797;11312;E1750N3135;E1750N3135;E1750N3135
e10952;8185;8186;5,346026562;FALSE;service;undefined;30;75694;18440;75701;18493;E1775N3145;E1775N3145;E1775N3145
e10966;7448;4015;60,1;TRUE;residential;Kerksteeg;30;121238;81075;121839;81075;E1805N3210;E1805N3210;E1805N3210
e10725;4984;4983;139,1720159;TRUE;residential;Statensingel;30;47230;50223;46087;49429;E1755N3180;E1755N3175;E1755N3180
e10724;8001;4984;230,7958405;TRUE;residential;Statensingel;30;49174;51467;47230;50223;E1755N3180;E1755N3180;E1755N3180
e10855;4240;4242;19,81716428;FALSE;tertiary;Maastrichterlaan;80;91406;88860;91552;88994;E1785N3220;E1785N3220;E1785N3220
e10970;4002;4015;38,33562312;FALSE;residential;Gansbaan;30;121660;80736;121839;81075;E1805N3210;E1805N3210;E1805N3210
e10983;957;4817;8,154140053;FALSE;service;Bakkerboschweg;5;121018;31929;121093;31961;E1805N3160;E1805N3160;E1805N3160
e10962;4841;4842;97,3604129;FALSE;service;undefined;5;33313;15967;32809;15134;E1745N3140;E1745N3140;E1745N3140
e10931;8160;8161;4,049691346;FALSE;unclassified;Lage Kanaaldijk;50;61763;19841;61749;19879;E1765N3145;E1765N3145;E1765N3145
e10539;7879;7878;543,0606688;TRUE;trunk;undefined;80;84129;60208;88529;63391;E1780N3190;E1785N3190;E1780N3190
e10491;7852;7854;111,1633033;FALSE;service;undefined;5;85106;35944;85718;36872;E1780N3165;E1780N3165;E1780N3165
e11332;1770;1802;87,83900045;TRUE;residential;Seringenstraat;30;40007;41380;40819;41715;E1750N3170;E1750N3170;E1750N3170
e10541;7880;3721;560,5129793;TRUE;motorway_link;undefined;80;95733;67939;90867;65157;E1790N3195;E1785N3195;E1785N3195
e10551;7887;1156;90,13462154;TRUE;trunk;undefined;100;84026;35136;84221;34256;E1780N3160;E1780N3160;E1780N3160
e10840;8081;6847;15,37595525;FALSE;service;undefined;5;54727;53935;54698;53784;E1760N3180;E1760N3180;E1760N3180
e10838;8081;6847;15,37595525;TRUE;service;undefined;5;54727;53935;54698;53784;E1760N3180;E1760N3180;E1760N3180
e10839;6847;8081;15,37595525;TRUE;service;undefined;5;54698;53784;54727;53935;E1760N3180;E1760N3180;E1760N3180
e10837;8080;1542;62,08800206;FALSE;unclassified;Weg van Heer naar Bemelen;30;112071;39910;111627;39476;E1800N3165;E1800N3165;E1800N3165
e10503;6158;174;147,1840005;FALSE;unclassified;Kapitein-Vlieger-Gloriestraat;5;7192;28254;6344;29457;E1725N3155;E1725N3155;E1725N3155
e10504;6156;4;6,989277502;FALSE;unclassified;Kanaalstraat;5;7265;28143;7226;28201;E1725N3155;E1725N3155;E1725N3155
e10493;7857;7853;25,78565493;FALSE;service;undefined;5;84696;36174;84867;35981;E1780N3165;E1780N3165;E1780N3165
e10600;1556;4288;17,88854382;TRUE;residential;undefined;50;53367;39583;53527;39503;E1760N3165;E1760N3165;E1760N3165
e11333;8331;2251;56,10222812;FALSE;residential;Bemelerweg;50;94317;45058;93756;45063;E1790N3175;E1790N3175;E1790N3175
e11334;2345;2348;28,6398324;FALSE;tertiary;Bemelerberg;30;133439;45810;133157;45860;E1815N3175;E1815N3175;E1815N3175
e11335;8471;8472;36,28911683;FALSE;living_street;Capitoolhof;15;13494;39034;13175;39207;E1730N3165;E1730N3165;E1730N3165
e10496;7858;7856;23,4931905;FALSE;service;undefined;5;85258;36947;85026;36984;E1780N3165;E1780N3165;E1780N3165
e10796;1997;2061;79,88016024;TRUE;residential;Brouwersweg;30;35829;43197;36469;43675;E1745N3170;E1750N3170;E1750N3170
