Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median
E1740N3170,1355,630.0,725.0,130.0,210.0,300.0,315.0,405.0,765.0,355.0,255.0,40.0,105.0,705.0,80.0,20.0,0.0,25.0,192.0,1.0,40-60 midden,36.0,10.0,"0,4",25260.99994,42640.61,46.494464944649444,53.50553505535055,9.59409594095941,15.498154981549817,22.14022140221402,23.247232472324722,29.88929889298893,46.40522875816993,33.33333333333333,5.228758169934641,13.725490196078432,1.0851063829787233,1.9219858156028369,1.7712418300653594,50.0
E1740N3175,835,395.0,440.0,95.0,105.0,195.0,220.0,225.0,450.0,205.0,145.0,25.0,75.0,420.0,50.0,40.0,125.0,10.0,206.0,1.0,40-60 midden,45.0,12.0,"0,6",25260.99994,47259.775,47.30538922155689,52.69461077844312,11.377245508982035,12.574850299401197,23.353293413173652,26.34730538922156,26.94610778443114,45.55555555555556,32.22222222222222,5.555555555555555,16.666666666666664,1.0714285714285714,1.9880952380952381,1.8555555555555556,50.0
E1740N3180,745,385.0,365.0,80.0,65.0,195.0,245.0,155.0,440.0,235.0,100.0,45.0,55.0,475.0,10.0,90.0,430.0,45.0,118.0,1.0,20-40 below middle,77.0,2.0,"0,7",25260.99994,51878.94,51.67785234899329,48.99328859060403,10.738255033557047,8.724832214765101,26.174496644295303,32.88590604026846,20.80536912751678,53.40909090909091,22.727272727272727,10.227272727272728,12.5,0.9263157894736842,1.568421052631579,1.6931818181818181,30.0
E1740N3185,1595,790.0,805.0,240.0,230.0,395.0,420.0,305.0,840.0,410.0,175.0,115.0,135.0,840.0,10.0,80.0,690.0,35.0,140.0,1.0,20-40 below middle,72.0,2.0,"0,7",25260.99994,56498.105,49.52978056426332,50.470219435736674,15.047021943573668,14.420062695924765,24.76489028213166,26.332288401253916,19.122257053291534,48.80952380952381,20.833333333333336,13.690476190476192,16.071428571428573,1.0,1.8988095238095237,1.8988095238095237,30.0
E1740N3190,1790,815.0,975.0,175.0,175.0,345.0,485.0,615.0,1000.0,510.0,250.0,75.0,160.0,1020.0,30.0,70.0,670.0,45.0,162.0,2.0,20-40 below middle,67.0,6.0,"0,5",25260.99994,61117.27,45.530726256983236,54.46927374301676,9.776536312849162,9.776536312849162,19.273743016759777,27.09497206703911,34.357541899441344,51.0,25.0,7.5,16.0,0.9803921568627451,1.7549019607843137,1.79,30.0
E1740N3195,845,415.0,430.0,95.0,105.0,155.0,250.0,240.0,385.0,145.0,130.0,20.0,95.0,380.0,70.0,30.0,80.0,15.0,222.0,3.0,40-60 midden,33.0,21.0,"0,6",25260.99994,65736.435,49.112426035502956,50.887573964497044,11.242603550295858,12.42603550295858,18.34319526627219,29.585798816568047,28.402366863905325,37.66233766233766,33.76623376623377,5.194805194805195,24.675324675324674,1.013157894736842,2.223684210526316,2.1948051948051948,50.0
E1745N3140,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,,,,32455.91661,14925.62,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1745N3145,15,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,5.0,,,,"2,7",32455.91661,19544.785,33.33333333333333,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,
E1745N3150,10,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,,,"2,3",32455.91661,24163.95,50.0,50.0,0.0,0.0,0.0,50.0,0.0,,,,,,inf,inf,
E1745N3155,10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,,,"1,6",32455.91661,28783.115,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,inf,
