node_id,x,y,square,nearest_service_point,population
465,39472.0,21277.0,E1750N3145,4387,5
466,90511.0,21170.0,E1785N3145,417,1600
467,91359.0,21235.0,E1785N3145,417,1600
468,70439.0,21285.0,E1770N3145,753,340
469,87434.0,21384.0,E1785N3145,417,1600
470,91089.0,21375.0,E1785N3145,417,1600
471,128074.0,21335.0,E1810N3145,657,2
472,75170.0,21436.0,E1775N3145,753,1000
473,90143.0,21483.0,E1785N3145,417,1600
474,91909.0,21545.0,E1785N3145,417,1600
475,91109.0,21575.0,E1785N3145,417,1600
476,90619.0,21645.0,E1785N3145,417,1600
477,91109.0,21645.0,E1785N3145,417,1600
478,88979.0,21675.0,E1785N3145,417,1600
479,88159.0,21685.0,E1785N3145,417,1600
480,74162.0,21700.0,E1775N3145,753,1000
481,74439.0,21725.0,E1775N3145,753,1000
482,75521.0,21769.0,E1775N3145,753,1000
483,92859.0,21775.0,E1785N3145,417,1600
484,93966.0,21727.0,E1790N3145,417,100
485,76399.0,21865.0,,753,NA
486,74119.0,21905.0,,753,NA
487,74407.0,21927.0,E1775N3150,753,1210
488,77175.0,21956.0,E1775N3150,753,1210
489,77666.0,22013.0,E1775N3150,753,1210
490,78360.0,22033.0,E1775N3150,753,1210
491,70059.0,22053.0,E1770N3150,753,555
492,90231.0,22090.0,E1785N3150,417,2380
493,91899.0,22125.0,E1785N3150,417,2380
494,86978.0,22136.0,E1785N3150,417,2380
495,87176.0,22138.0,E1785N3150,417,2380
496,91029.0,22145.0,E1785N3150,417,2380
497,91149.0,22145.0,E1785N3150,417,2380
498,87172.0,22233.0,E1785N3150,417,2380
499,87937.0,22236.0,E1785N3150,417,2380
500,88089.0,22235.0,E1785N3150,417,2380
501,73269.0,22285.0,E1775N3150,753,1210
502,88899.0,22305.0,E1785N3150,417,2380
503,96270.0,22439.0,E1790N3150,417,100
504,74999.0,22475.0,E1775N3150,753,1210
505,95174.0,22664.0,E1790N3150,417,100
506,74382.0,22748.0,E1775N3150,753,1210
507,76439.0,22755.0,E1775N3150,753,1210
508,93385.0,22749.0,E1785N3150,417,2380
509,92528.0,22775.0,E1785N3150,417,2380
510,91878.0,22865.0,E1785N3150,417,2380
511,91729.0,22945.0,E1785N3150,417,2380
512,70549.0,22955.0,E1770N3150,753,555
513,83618.0,22929.0,E1780N3150,753,405
514,71589.0,22985.0,E1770N3150,753,555
515,90439.0,22985.0,E1785N3150,417,2380
516,107797.0,23071.0,E1795N3150,417,2
517,76659.0,23035.0,E1775N3150,753,1210
518,79039.0,23075.0,E1775N3150,753,1210
519,62436.0,23026.0,E1765N3150,1026,75
520,75669.0,23085.0,E1775N3150,753,1210
521,62186.0,23036.0,E1765N3150,1026,75
522,72652.0,23090.0,E1775N3150,753,1210
523,73268.0,23168.0,E1775N3150,753,1210
524,87263.0,23238.0,E1785N3150,718,2380
525,86170.0,23255.0,E1780N3150,718,405
526,74228.0,23285.0,E1775N3150,753,1210
527,81099.0,23375.0,E1780N3150,753,405
528,80738.0,23379.0,E1780N3150,753,405
529,74904.0,23374.0,E1775N3150,753,1210
530,88339.0,23445.0,E1785N3150,718,2380
531,93606.0,23456.0,,417,NA
532,87706.0,23532.0,E1785N3150,718,2380
533,132796.0,23514.0,E1815N3150,657,645
534,92709.0,23505.0,E1785N3150,417,2380
535,91949.0,23525.0,E1785N3150,417,2380
536,137154.0,23542.0,E1820N3150,657,475
537,132533.0,23548.0,E1815N3150,657,645
538,80863.0,23577.0,E1780N3150,753,405
539,89379.0,23615.0,E1785N3150,718,2380
540,89214.0,23620.0,E1785N3150,718,2380
541,76409.0,23705.0,E1775N3150,753,1210
542,87409.0,23805.0,E1785N3150,718,2380
543,87728.0,23804.0,E1785N3150,718,2380
544,75612.0,23792.0,E1775N3150,753,1210
545,89491.0,23840.0,E1785N3150,718,2380
546,86207.0,23946.0,E1780N3150,718,405
547,90669.0,23925.0,E1785N3150,417,2380
548,75059.0,23935.0,E1775N3150,753,1210
549,137017.0,23945.0,E1820N3150,657,475
550,72649.0,23955.0,E1775N3150,753,1210
551,87744.0,24004.0,E1785N3150,718,2380
552,90749.0,24005.0,E1785N3150,417,2380
553,133834.0,24012.0,E1815N3150,657,645
554,70529.0,24025.0,E1770N3150,753,555
555,135123.0,24020.0,E1815N3150,657,645
556,92479.0,24045.0,E1785N3150,417,2380
557,74599.0,24085.0,E1775N3150,753,1210
558,93868.0,24110.0,E1790N3150,417,100
559,90149.0,24115.0,E1785N3150,718,2380
560,89602.0,24175.0,E1785N3150,718,2380
561,132704.0,24177.0,E1815N3150,657,645
562,93159.0,24195.0,E1785N3150,417,2380
563,88819.0,24245.0,E1785N3150,718,2380
564,56703.0,24262.0,E1760N3150,1026,5
565,52885.0,24333.0,E1760N3150,1026,5
566,56767.0,24303.0,E1760N3150,1026,5
567,87769.0,24325.0,E1785N3150,718,2380
568,86129.0,24385.0,E1780N3150,718,405
569,86229.0,24385.0,E1780N3150,718,405
570,114654.0,24614.0,E1800N3150,657,2
571,136839.0,24395.0,,657,NA
572,72789.0,24405.0,E1775N3150,753,1210
573,83409.0,24435.0,E1780N3150,718,405
574,84676.0,24411.0,E1780N3150,718,405
575,72509.0,24445.0,E1775N3150,753,1210
576,69261.0,24441.0,E1770N3150,753,555
577,80114.0,24489.0,E1780N3150,753,405
578,72027.0,24490.0,,753,NA
579,79641.0,24497.0,E1780N3150,753,405
580,89609.0,24555.0,E1785N3150,718,2380
581,69862.0,24557.0,E1770N3150,753,555
582,70073.0,24598.0,E1770N3150,753,555
583,135323.0,24590.0,E1815N3150,657,645
584,93372.0,24711.0,E1785N3150,417,2380
585,133879.0,24775.0,E1815N3150,657,645
586,92441.0,24770.0,E1785N3150,417,2380
587,86239.0,24815.0,E1780N3150,718,405
588,86835.0,24925.0,E1785N3150,718,2380
589,87791.0,24971.0,E1785N3150,718,2380
590,133879.0,24975.0,E1815N3150,657,645
591,115615.0,25042.0,E1805N3150,657,15
592,88667.0,24991.0,E1785N3150,718,2380
593,89613.0,25007.0,E1785N3150,718,2380
594,87799.0,25043.0,E1785N3150,718,2380
595,136137.0,25056.0,E1815N3150,657,645
596,86847.0,25126.0,E1785N3150,718,2380
597,131179.0,25205.0,E1815N3150,657,645
598,79189.0,25239.0,,753,NA
599,129899.0,25285.0,E1815N3150,657,645
600,133965.0,25378.0,E1815N3150,657,645
601,135809.0,25425.0,E1815N3150,657,645
602,133099.0,25445.0,E1815N3150,657,645
603,87789.0,25475.0,E1785N3150,718,2380
604,89759.0,25495.0,E1785N3150,718,2380
605,136465.0,25514.0,E1815N3150,657,645
606,136542.0,25507.0,E1815N3150,657,645
607,88713.0,25549.0,E1785N3150,718,2380
608,88433.0,25567.0,E1785N3150,718,2380
609,89860.0,25614.0,E1785N3150,718,2380
610,127616.0,25460.0,E1810N3150,657,200
611,87598.0,25639.0,E1785N3150,718,2380
612,80477.0,25656.0,E1780N3150,753,405
613,86240.0,25683.0,E1780N3150,718,405
614,88466.0,25733.0,E1785N3150,718,2380
615,93856.0,25715.0,E1790N3150,417,100
616,118273.0,25751.0,E1805N3150,657,15
617,134063.0,25732.0,E1815N3150,657,645
618,93029.0,25795.0,E1785N3150,417,2380
619,60162.0,25810.0,E1765N3150,1026,75
620,133159.0,25835.0,E1815N3150,657,645
